sku;name;short_description;description;category_id;category;subcategory_id;subcategory;tags;brand;manufacturer;country_of_origin;price_net;price_gross;vat_rate;currency;voltage_v;current_a;power_w;ip_rating;mounting;modules_din;color;material;operating_temp_min_c;operating_temp_max_c;certificates
IV-012-00335;Wyłącznik zmierzchowy SCHNEIDER SE-0335Z 100 lx;Wyłącznik zmierzchowy 100 lx, 6 A, montaż natynkowy.;Wyłącznik zmierzchowy automatycznie załączający oświetlenie zewnętrzne po zapadnięciu zmroku. Próg czułości regulowany od 2 do 100 lx. Zasilanie 230 V, obciążalność 6 A. Stopień ochrony IP65.;1;Automatyka domowa;12;Czujniki zmierzchowe;zmierzchowy, automatyka, oświetlenie zewnętrzne;SCHNEIDER;Schneider Electric Polska Sp. z o.o.;FR;112,98;138,97;23;PLN;230;6;;IP65;natynkowy;1;szary;tworzywo ABS;-25;50;CE, RoHS
IV-012-00371;Czujnik zmierzchowy OSPEL OP-0371X 2 lx;Wyłącznik zmierzchowy 2 lx, 6 A, montaż szyna DIN.;Wyłącznik zmierzchowy automatycznie załączający oświetlenie zewnętrzne po zapadnięciu zmroku. Próg czułości regulowany od 2 do 2 lx. Zasilanie 230 V, obciążalność 6 A. Stopień ochrony IP65.;1;Automatyka domowa;12;Czujniki zmierzchowe;zmierzchowy, automatyka, oświetlenie zewnętrzne;OSPEL;OSPEL S.A.;PL;66,11;81,32;23;PLN;230;6;;IP65;szyna DIN;1;kremowy;poliwęglan;-25;50;CE, RoHS, EMC
IV-012-00277;Wyłącznik zmierzchowy ABB AB-0277D 10 lx;Wyłącznik zmierzchowy 10 lx, 16 A, montaż szyna DIN.;Wyłącznik zmierzchowy automatycznie załączający oświetlenie zewnętrzne po zapadnięciu zmroku. Próg czułości regulowany od 2 do 10 lx. Zasilanie 230 V, obciążalność 16 A. Stopień ochrony IP44.;1;Automatyka domowa;12;Czujniki zmierzchowe;zmierzchowy, automatyka, oświetlenie zewnętrzne;ABB;ABB Sp. z o.o.;CH;115,90;142,56;23;PLN;230;16;;IP44;szyna DIN;;czarny;poliwęglan;-20;50;CE, RoHS, EMC
IV-013-00623;Czujnik dźwięku OSPEL OP-0623H 80 dB;Czujnik akustyczny 80 dB, opóźnienie 300 s.;Wyłącznik akustyczny włączający oświetlenie po wykryciu dźwięku. Czułość regulowana od 80 dB, opóźnienie wyłączenia do 300 s. Zasilanie 230 V, obciążalność 6 A. Idealny do klatek schodowych i piwnic.;1;Automatyka domowa;13;Czujniki dźwięku;akustyczny, automatyka, klatki schodowe;OSPEL;OSPEL S.A.;PL;60,01;73,81;23;PLN;230;6;;IP20;podtynkowy;1;czarny;poliwęglan;-10;40;CE, RoHS
IV-013-00695;Czujnik akustyczny LEGRAND LG-0695R 70 dB;Czujnik akustyczny 70 dB, opóźnienie 60 s.;Wyłącznik akustyczny włączający oświetlenie po wykryciu dźwięku. Czułość regulowana od 70 dB, opóźnienie wyłączenia do 60 s. Zasilanie 230 V, obciążalność 6 A. Idealny do klatek schodowych i piwnic.;1;Automatyka domowa;13;Czujniki dźwięku;akustyczny, automatyka, klatki schodowe;LEGRAND;Legrand Polska Sp. z o.o.;FR;76,03;93,52;23;PLN;230;6;;IP44;szyna DIN;1;czarny;PC + ABS;-10;40;CE, RoHS
IV-013-00750;Wyłącznik akustyczny ABB AB-0750C 70 dB;Czujnik akustyczny 70 dB, opóźnienie 30 s.;Wyłącznik akustyczny włączający oświetlenie po wykryciu dźwięku. Czułość regulowana od 70 dB, opóźnienie wyłączenia do 30 s. Zasilanie 230 V, obciążalność 10 A. Idealny do klatek schodowych i piwnic.;1;Automatyka domowa;13;Czujniki dźwięku;akustyczny, automatyka, klatki schodowe;ABB;ABB Sp. z o.o.;CH;70,64;86,89;23;PLN;230;10;;IP44;podtynkowy;1;szary;poliwęglan;-10;40;CE, RoHS
IV-014-00797;Termostat pokojowy ORNO OR-0797X LCD;Termostat 10-30°C, wyświetlacz LCD.;Termostat pokojowy z wyświetlaczem LCD, zakres regulacji 10–30°C. Zasilanie 24 V, obciążalność styków 16 A. Sterowanie ogrzewaniem podłogowym, kotłami lub klimatyzacją. Montaż szyna DIN.;1;Automatyka domowa;14;Termostaty;termostat, ogrzewanie, regulator temperatury;ORNO;ORNO Sp. z o.o.;PL;112,36;138,20;23;PLN;24;16;;IP20;szyna DIN;1;kremowy;tworzywo ABS;-10;50;CE, RoHS
IV-014-00840;Regulator temperatury SCHNEIDER SE-0840B LCD;Termostat 5-35°C, wyświetlacz LCD.;Termostat pokojowy z wyświetlaczem LCD, zakres regulacji 5–35°C. Zasilanie 230 V, obciążalność styków 16 A. Sterowanie ogrzewaniem podłogowym, kotłami lub klimatyzacją. Montaż natynkowy.;1;Automatyka domowa;14;Termostaty;termostat, ogrzewanie, regulator temperatury;SCHNEIDER;Schneider Electric Polska Sp. z o.o.;FR;173,50;213,41;23;PLN;230;16;;IP20;natynkowy;2;biały;PC + ABS;-10;50;CE
IV-014-00856;Termostat pokojowy ORNO OR-0856M OLED;Termostat 5-40°C, wyświetlacz OLED.;Termostat pokojowy z wyświetlaczem OLED, zakres regulacji 5–40°C. Zasilanie 12 V, obciążalność styków 16 A. Sterowanie ogrzewaniem podłogowym, kotłami lub klimatyzacją. Montaż natynkowy.;1;Automatyka domowa;14;Termostaty;termostat, ogrzewanie, regulator temperatury;ORNO;ORNO Sp. z o.o.;PL;131,29;161,49;23;PLN;12;16;;IP20;natynkowy;;kremowy;PC + ABS;-10;50;CE
IV-014-00842;Termostat FINDER FN-0842B brak;Termostat 10-30°C, wyświetlacz brak.;Termostat pokojowy z wyświetlaczem brak, zakres regulacji 10–30°C. Zasilanie 24 V, obciążalność styków 10 A. Sterowanie ogrzewaniem podłogowym, kotłami lub klimatyzacją. Montaż szyna DIN.;1;Automatyka domowa;14;Termostaty;termostat, ogrzewanie, regulator temperatury;FINDER;Finder S.p.A.;IT;149,80;184,25;23;PLN;24;10;;IP44;szyna DIN;;czarny;tworzywo ABS;-10;50;CE, RoHS, EMC
