sku;name;short_description;description;category_id;category;subcategory_id;subcategory;tags;brand;manufacturer;country_of_origin;price_net;price_gross;vat_rate;currency;voltage_v;current_a;power_w;ip_rating;mounting;modules_din;color;material;operating_temp_min_c;operating_temp_max_c;certificates
EM-012-10371;Timeguard NightEye NE-71 Photocell Switch 2 lux;Dusk-to-dawn photocell switch, 2 lux, 6 A, DIN rail with remote sensing head.;Automatic photocell switch that turns exterior lighting on at dusk. Sensitivity adjustable from 2 to 100 lux. 230 V supply, 6 A rating. Remote sensing head rated IP65. DIN-rail control unit fits inside the consumer unit.;1;Home Automation;12;Photocell sensors;photocell,dusk,exterior lighting,DIN;Timeguard;Timeguard Ltd;GB;14.90;17.88;20;GBP;230;6;;IP65;DIN rail;1;grey;polycarbonate;-25;50;CE,UKCA,RoHS,EMC
EM-012-10335;Schneider Argus AR-35 Photocell Switch 100 lux;Surface-mount photocell switch, 100 lux, 6 A, IP65.;Automatic photocell switch for exterior lighting. Adjustable threshold 2-100 lux, 230 V, 6 A. IP65 enclosure for direct outdoor surface mounting without a back box.;1;Home Automation;12;Photocell sensors;photocell,dusk,exterior lighting,surface;Schneider Electric;Schneider Electric Ltd;FR;26.50;31.80;20;GBP;230;6;;IP65;surface;;white;ABS;-25;50;CE,UKCA,RoHS
EM-012-10277;ABB Twilo TW-77 Photocell Switch 10 lux 16A;DIN-rail photocell switch, 10 lux, 16 A, IP44.;Automatic photocell switch for large exterior lighting circuits. Threshold 2-10 lux, 230 V, 16 A. IP44 DIN-rail module for distribution boards, suited to car parks and large yards.;1;Home Automation;12;Photocell sensors;photocell,dusk,16A,DIN;ABB;ABB Ltd;CH;27.20;32.64;20;GBP;230;16;;IP44;DIN rail;1;grey;polycarbonate;-20;50;CE,UKCA,RoHS,EMC
EM-013-10623;ESP Aperta AP-23 Acoustic Switch 80 dB;Flush acoustic switch, 80 dB, up to 300 s delay.;Sound-activated switch that turns lighting on when noise is detected. Sensitivity from 80 dB, off-delay up to 300 s. 230 V, 6 A. Ideal for stairwells and cellars.;1;Home Automation;13;Acoustic switches;acoustic,sound,stairwell;ESP;Elite Security Products;GB;13.20;15.84;20;GBP;230;6;;IP20;flush;1;white;polycarbonate;-10;40;CE,UKCA,RoHS
EM-013-10750;ABB Sono SN-50 Acoustic Switch 10A;Flush acoustic switch, 10 A, up to 30 s delay.;Sound-activated switch, sensitivity 80 dB, off-delay up to 30 s. 230 V, 10 A. Short corridors and plant rooms.;1;Home Automation;13;Acoustic switches;acoustic,sound,10A;ABB;ABB Ltd;CH;15.60;18.72;20;GBP;230;10;;IP20;flush;;white;polycarbonate;-10;40;CE,UKCA,RoHS
EM-013-10695;Legrand Lexic LX-95 Acoustic Switch DIN;DIN acoustic switch, 6 A, up to 60 s delay.;Sound-activated switch for central distribution boards. 230 V, 6 A, off-delay up to 60 s. DIN-rail mounting.;1;Home Automation;13;Acoustic switches;acoustic,sound,DIN;Legrand;Legrand SA;FR;16.80;20.16;20;GBP;230;6;;IP20;DIN rail;1;grey;polycarbonate;-10;40;CE,UKCA,RoHS,EMC
EM-014-10797;Heatmiser Neo HM-97 Underfloor Thermostat 24V;Underfloor thermostat, 24 V AC/DC, DIN, LCD.;Programmable underfloor heating thermostat. 24 V AC/DC supply, DIN-rail mounting, LCD display. For standard 24 V control circuits.;1;Home Automation;14;Thermostats;thermostat,underfloor,24V,heating;Heatmiser;Heatmiser UK Ltd;GB;24.80;29.76;20;GBP;24;;;;DIN rail;1;white;ABS;0;50;CE,UKCA,RoHS
EM-014-10842;Finder 7T FN-42 Underfloor Thermostat 24V EMC;Underfloor thermostat, 24 V AC/DC, DIN, EMC certified.;Programmable underfloor thermostat with EMC certification for industrial and healthcare projects. 24 V AC/DC, DIN rail.;1;Home Automation;14;Thermostats;thermostat,underfloor,24V,EMC;Finder;Finder S.p.A.;IT;33.10;39.72;20;GBP;24;;;;DIN rail;1;grey;polycarbonate;0;50;CE,UKCA,RoHS,EMC
EM-014-10840;Schneider Thermo TH-40 Room Thermostat 230V;Room thermostat, 230 V AC, surface mount, LCD.;Mains-powered room thermostat, 230 V AC direct - no 24 V transformer required. Surface mount, LCD. For hotels and apartments with visible enclosures.;1;Home Automation;14;Thermostats;thermostat,room,230V,heating;Schneider Electric;Schneider Electric Ltd;FR;38.30;45.96;20;GBP;230;;;;surface;;white;ABS;0;50;CE,UKCA
EM-014-10856;Heatmiser Touch HM-56 Underfloor Thermostat OLED 24V;Underfloor thermostat, 24 V AC/DC, OLED touch.;Premium underfloor thermostat with OLED touch display. 24 V AC/DC, surface mount. Requires 24 V transformer on a 230 V supply.;1;Home Automation;14;Thermostats;thermostat,underfloor,24V,OLED;Heatmiser;Heatmiser UK Ltd;GB;29.90;35.88;20;GBP;24;;;;surface;;black;glass;0;50;CE,UKCA,RoHS
EM-015-11134;ESP AquaGuard AQ-34 Wi-Fi Leak Detector;Wi-Fi water leak detector, IP65, phone push alerts.;Wi-Fi water leak detector sending push notifications to a phone app. IP65. For apartments and offices with remote monitoring.;1;Home Automation;15;Leak detectors;leak,water,Wi-Fi;ESP;Elite Security Products;GB;11.90;14.28;20;GBP;;;;IP65;surface;;white;ABS;0;50;CE,UKCA,RoHS
EM-015-11212;ABB AquaStop AS-12 Leak Detector Audible IP67;Water leak detector, audible alarm, IP67.;Water leak detector with on-site audible alarm. IP67 (temporary immersion). For plant rooms and server rooms where Wi-Fi is unreliable.;1;Home Automation;15;Leak detectors;leak,water,audible,IP67;ABB;ABB Ltd;CH;23.50;28.20;20;GBP;;;;IP67;surface;;grey;polycarbonate;0;60;CE,UKCA,RoHS
EM-021-12232;Legrand Céliane LG-32 Astronomical Time Switch 2-ch;DIN astronomical time switch, 2 channels.;Two-channel astronomical time switch that tracks sunrise/sunset by location. DIN rail, 230 V. For street and estate lighting.;2;Time Switches;21;Astronomical;astronomical,time switch,2-channel;Legrand;Legrand SA;FR;86.40;103.68;20;GBP;230;16;;IP20;DIN rail;2;grey;polycarbonate;-20;55;CE,UKCA,RoHS
EM-022-11527;BG Electrical Sync BG-27 Plug-in Timer Daily;Plug-in timer, 16 programs, daily, IP44.;Plug-in socket timer, 16 programs, daily mode, IP44. For temporary installations and domestic appliances.;2;Time Switches;22;Plug-in timers;timer,plug-in,daily;BG Electrical;British General;GB;6.50;7.80;20;GBP;230;16;;IP44;plug-in;;white;ABS;-10;40;CE,UKCA,RoHS
EM-022-11696;Hager EHZ EZ-96 Plug-in Timer Weekly;Plug-in timer, 20 programs, weekly, EMC.;Plug-in socket timer, 20 programs, weekly mode. EMC certified. IP20.;2;Time Switches;22;Plug-in timers;timer,plug-in,weekly,EMC;Hager;Hager Group;DE;12.40;14.88;20;GBP;230;16;;IP20;plug-in;;white;ABS;-10;40;CE,UKCA,RoHS,EMC
EM-023-11928;Timeguard TimePro TP-28 Surface Time Switch Weekly;Surface time switch, 4 ops/week, IP44, EMC.;Surface-mount weekly time switch, IP44, EMC certified, rated to -20 C. For garages, agriculture and sheltered outdoor use.;2;Time Switches;23;Surface time switches;timer,surface,weekly,IP44;Timeguard;Timeguard Ltd;GB;20.80;24.96;20;GBP;230;16;;IP44;surface;;grey;polycarbonate;-20;50;CE,UKCA,RoHS,EMC
EM-023-11752;Finder 12 Series FN-52 Surface Time Switch IP54;Surface time switch, 4 ops/week, IP54, 10 A.;Surface-mount weekly time switch, IP54 splash protection, 10 A. For commercial kitchens and terraces.;2;Time Switches;23;Surface time switches;timer,surface,IP54;Finder;Finder S.p.A.;IT;30.20;36.24;20;GBP;230;10;;IP54;surface;;grey;polycarbonate;-20;50;CE,UKCA,RoHS
